work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary_band
2025,2,2,88,57000,7,60000,62,50,60,0,1
2025,3,2,180,165000,24,165000,89,0,84,1,0
2025,3,2,180,109000,24,109000,89,0,84,1,1
2025,3,2,37,294000,24,294000,89,0,84,1,0
2025,3,2,37,137600,24,137600,89,0,84,1,1
2025,0,2,89,82000,24,82000,89,0,84,1,1
2025,0,2,89,44000,24,44000,89,0,84,1,1
2025,3,2,292,149800,24,149800,89,0,84,0,0
2025,3,2,292,89700,24,89700,89,0,84,0,1
2025,3,2,277,200000,24,200000,89,0,84,1,0
2025,3,2,277,185000,24,185000,89,0,84,1,0
2025,3,2,150,160000,24,160000,89,0,84,1,0
2025,3,2,150,130000,24,130000,89,0,84,1,1
2025,3,2,240,231000,24,231000,89,100,84,1,0
2025,3,2,240,172000,24,172000,89,100,84,1,0
2025,3,2,81,126000,24,126000,89,0,84,1,1
2025,3,2,81,119000,24,119000,89,0,84,1,1
2025,2,2,2,200000,24,200000,89,100,84,2,0
2025,2,2,2,200000,24,200000,89,100,84,2,0
2025,2,2,23,300000,24,300000,89,100,84,2,0
2025,2,2,150,140000,24,140000,89,100,84,1,1
2025,2,2,150,120000,24,120000,89,100,84,1,1
2025,2,2,79,175300,24,175300,89,0,84,1,0
2025,2,2,79,129500,24,129500,89,0,84,1,1
2025,3,2,126,115500,24,115500,89,0,84,1,1
2025,3,2,126,87000,24,87000,89,0,84,1,1
2025,3,2,140,170000,24,170000,89,0,84,1,0
2025,3,2,140,110000,24,110000,89,0,84,1,1
2025,0,2,277,266000,24,266000,89,0,84,1,0
2025,0,2,277,177688,24,177688,89,0,84,1,0
2025,0,2,277,358000,24,358000,89,0,84,1,0
2025,0,2,277,187040,24,187040,89,0,84,1,0
2025,0,2,277,358000,24,358000,89,0,84,1,0
2025,0,2,277,187040,24,187040,89,0,84,1,0
2025,0,2,277,266000,24,266000,89,0,84,1,0
2025,0,2,277,177688,24,177688,89,0,84,1,0
2025,2,2,277,251000,24,251000,89,0,84,1,0
2025,2,2,277,177000,24,177000,89,0,84,1,0
2025,3,2,293,200000,24,200000,89,0,84,1,0
